Notable Players,,,,,
No.,Photo,Name,Nationality,Feature,Note
1,,Espen Jorstad,Norway,"2022 WSOP ME Winner
GTO Wizard Ambassador",
2,,Phil Nagy,USA,ACR Poker CEO,
3,,Faraz Jaka,USA,1-Time Bracelet Winner,
4,,David Peters,USA,"4-Time Bracelet Winner
All-Time Money List 13th",
5,,Stephen Chidwick,England,"2-Time Bracelet Winner
All-Time Money List 3rd",
6,,Daniel Tang,Hong Kong,"5-Time Triton Winner
Triton  Ambassador
All-Time Money List 27th",
7,,Kahle Burns,Australia,"2-Time Bracelet Winner
All-Time Money List 99th",
8,,bruno volkmann,Brazil,"Former Tennis Player
Online Pro",
9,,Johan Guilbert,France,"GOG Participant
1 EPT / 1 WPT Title",
10,,Steve O'Dwyer,USA / Ireand,"All-Time Money List 14th
 8 EPT Title / 2 Triton Title",
11,,Pieter Aerts,Belgium,1-Time Bracelet Winner,
12,,Joni Jouhkimainen,Finland,"1-Time Bracelet Winner
Party Poker Ambassador",
13,,Boris Kolev,Bulgaria,"2-Time Bracelet Winner
2024 MPP EAPT Grand Final Winner",
14,,Stephen Song,USA,1-Time Bracelet Winner,
15,,Dominik Nitsche,Germany,"4-Time Bracelet Winner
All-Time Money List 55th
타마요 사건 Poker Coach",
16,,Fahredin Mustafov,Bulgaria,2 EPT Title,
17,,Leon Sturm,Germany,"1-Time Bracelet Winner
GTO Lab Poker Coach",
18,,Vladimir Troyanovskiy,Russia,4 EPT Title,
19,,Farid Jattin,Columbia,Colombia All-Time Money List 1st,
20,,Ludo Geilich,Scotland,"1 EPT Title
Poker Party Ambassador
2024 MPP PLO HR Winner",
21,,Andrey Pateychuk,Russia,2 EPT Titlle,
22,,Christopher Putz,Germany,1 WPT Title,
23,,Mustapha Kanit,Italy,"All-Time Money List 81st
2024 WSOP Paradise SME 3rd
Winamax Team Pro",
24,,Jessica Teusl,Austria,1-Time Bracelet Winner,
25,,Azamat Lamkov,Russia,2024 MPP Main Event Winner,
26,,Aleksey Savenkov,Russia,"2024 MPP Luxon Mystery Bounty Winner
GGPoker Qualifier",
27,,John Basta,Egypt,2022 MPP Mystery Bounty Winner,
28,,Georgios Tsouloftas,Cyprus,2022 MPP Main Event Winner,
29,,Nikolay Fal,Russia,"1-Time Bracelet Winner
2022 MPP Merit Classic Winner",